"Model","Pattern_K","Pattern_Lambda","Pattern_MoransI","Pattern_mpnns","Pattern_mean_offdiag_cor","Pattern_max_offdiag_cor","Pattern_ess_1","Pattern_ess_2","Clustered_Mean_K","Random_Mean_K","Dispersed_Mean_K","Clustered_Mean_Lambda","Random_Mean_Lambda","Dispersed_Mean_Lambda","Clustered_Mean_MoransI","Random_Mean_MoransI","Dispersed_Mean_MoransI","Clustered_Mean_mpnns","Random_Mean_mpnns","Dispersed_Mean_mpnns","Clustered_Mean_mean_offdiag_cor","Random_Mean_mean_offdiag_cor","Dispersed_Mean_mean_offdiag_cor","Clustered_Mean_max_offdiag_cor","Random_Mean_max_offdiag_cor","Dispersed_Mean_max_offdiag_cor","Clustered_Mean_ess_1","Random_Mean_ess_1","Dispersed_Mean_ess_1","Clustered_Mean_ess_2","Random_Mean_ess_2","Dispersed_Mean_ess_2"
"Lambda1",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.676633231859852,0.900999348531036,1.14450804139655,0.999926686256414,0.902694610946469,0.999926686256414,0.0466999806033707,0.0544044158032367,0.0139684498842734,0.571272363566123,0.432675908751774,0.407334169821608,0.370416166762563,0.18616767264888,0.163090686618804,0.909090909090909,0.901564295436472,0.693375245281536,2.56350663720942,4.76590907518933,5.28418051571324,4.90566866562168,10.2985882730858,13.1079379676082
"Lambda0.7",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.695998150539434,0.895380034282564,0.848342341097871,0.999926686256414,0.874834940429401,0.582496802410718,0.0574731231875225,0.0493177089339278,-0.0070673319641656,0.571273243073316,0.459578968569797,0.395061680411624,0.37352779635075,0.211014402528321,0.20570729109108,0.909090909090909,0.891395390342727,0.758884665059704,2.54384926648484,4.27942877279056,4.33785019622772,4.84833551633666,9.04025194403788,9.98867447026367
"Lambda0.5",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.667130794163479,0.802397265657284,0.728016380817265,0.979279037128991,0.687423338934407,7.33137435857406e-05,0.0806561203499241,0.0242820408186001,-0.0167373758382074,0.488237683874513,0.462101600308269,0.348422730441593,0.374924127871297,0.220627781582826,0.220328860878966,0.909090909090909,0.88825128045788,0.785929227871184,2.53512575897218,4.11706194731297,4.08674385224602,4.8225257194786,8.59786196459303,9.1362632839201
"OU_alpha0.2",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.387959490794011,0.590914322842984,0.636760730766887,0.856884665601644,0.345138086849998,7.33137435857406e-05,0.00203994431487589,0.00165683488511683,-0.0376053771634666,0.500736819118478,0.48175750656511,0.488059036777955,0.132170337073412,0.036029941274079,0.0172062277616075,0.666222141818628,0.632930353033673,0.162856137680897,6.27785744151992,15.1751538060006,20.8687523258215,15.423355710909,26.382678905463,31.0413092592207
"OU_alpha1",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.352351737128061,0.43248315894318,0.608198745736871,7.33137435857406e-05,0.0819369667843815,7.33137435857406e-05,-0.0387145285888697,-0.033957351441584,-0.0419839785053142,0.63779946560856,0.619590050675073,0.574805885773226,0.0043694146550756,0.000684069997588622,2.07756810453592e-06,0.135335282995417,0.113805067569117,0.000123409803832629,28.1826128325986,31.337830827382,31.9979391851663,31.6462457118047,31.9438171782879,31.9999998476405
"OU_alpha5",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.474704633210617,0.445805748226383,0.600664586744248,0.298994818671411,0.0688121262745013,7.33137435857406e-05,-0.00495735210643197,-0.0308947457022382,-0.0431706541085681,0.785451440099644,0.774910115667448,0.74063726501528,7.3850787963813e-07,1.16273377477295e-07,2.33205162383658e-22,4.53999297624848e-05,3.45234577551274e-05,2.86251858054939e-20,31.999267416955,31.9998846574763,32,31.9999999670197,31.9999999948097,32
